# Generation      Maximum Fitness      Average Fitness      Minimum Fitness
653                4.9231140583         4.8911339702         4.8155818576
654                4.9231140583         4.8555199211         3.9906031905
655                4.9231140583         4.8300493687         3.8296944244
656                4.9231140583         4.8833291785         4.4183379398
657                4.9231140583         4.8873708986         4.6204239460
658                4.9231140583         4.8870271278         4.7032381799
659                4.9231140583         4.8241708258         4.0509791458
660                4.9231140583         4.8257170742         4.0107879751
661                4.9231140583         4.8187628582         4.0537761926
662                4.9231140583         4.8764975807         4.5381979763
663                4.9231140583         4.8866585446         4.5460390746
664                4.9231140583         4.8771732273         4.2884162631
665                4.9231140583         4.8591663687         4.1521332252
666                4.9231140583         4.8654550687         4.1793072467
667                4.9231140583         4.8472907435         3.9594274646
668                4.9231140583         4.8636447403         4.3724200580
669                4.9231140583         4.8866312028         4.7204148254
670                4.9231140583         4.8914767373         4.7419251800
671                4.9231140583         4.8749560035         4.2519536252
672                4.9231140583         4.8630997181         4.0176244154
673                4.9231140583         4.8258783775         4.1222658878
674                4.9231140583         4.8547379749         4.1720894342
675                4.9231140583         4.8223451463         4.1106672855
676                4.9231140583         4.8367148851         4.1483216207
677                4.9231140583         4.8341336005         4.4246406459
678                4.9231140583         4.8745585283         4.4779539704
679                4.9231140583         4.8413199360         4.0474863040
680                4.9231140583         4.8613955519         4.1087973396
681                4.9231140583         4.8398745135         4.1327500208
682                4.9231140583         4.8700067230         4.0992314149
683                4.9231140583         4.8675157772         4.2183803086
684                4.9231140583         4.8622571528         4.2803299070
685                4.9231140583         4.8721748392         3.9492449826
686                4.9231140583         4.8829870358         4.5598656370
687                4.9231140583         4.8948109817         4.8924253232
688                4.9231140583         4.8698845828         4.2124483132
689                4.9231140583         4.8355751684         4.0182927741
690                4.9231140583         4.8460532627         4.0824026299
691                4.9231140583         4.8536088424         4.3404772179
692                4.9231140583         4.8805583040         4.5938721191
693                4.9231140583         4.8948109817         4.8924253232
694                4.9231140583         4.8616336435         4.0528503973
695                4.9231140583         4.8791349577         4.4959262126
696                4.9231140583         4.8402940439         4.0200710060
697                4.9231140583         4.8823240424         4.6276497706
698                4.9231140583         4.8658413057         4.1985599494
699                4.9231140583         4.8282127204         3.4387870327
700                4.9231140583         4.8047404755         3.2155732488
701                4.9231140583         4.8458966711         3.4311738771
702                4.9231140583         4.8772605533         4.5287840340
703                4.9231140583         4.8695662755         4.1855612914
704                4.9231140583         4.8142557158         4.0095237690
705                4.9231140583         4.8406101754         3.9088323442
706                4.9231140583         4.8507835445         4.0531497193
707                4.9231140583         4.8882719934         4.6959115575
708                4.9231140583         4.8646617699         4.2146594022
709                4.9231140583         4.8782170884         4.4685494915
710                4.9231140583         4.8820201313         4.6304924983
711                4.9231140583         4.8794515397         4.2515926351
712                4.9231140583         4.8481486537         3.9418936828
713                4.9231140583         4.8913939249         4.7437478536
714                4.9231140583         4.8945892280         4.8813376381
715                4.9231140583         4.8478761125         4.2034018625
716                4.9231140583         4.8781328340         4.4241860743
717                4.9231140583         4.8684025613         4.1019753218
718                4.9231140583         4.8606451641         3.9902284704
719                4.9231140583         4.8760258842         4.3003260199
720                4.9231140583         4.8770267210         4.2736714600
721                4.9231140583         4.8857527182         4.4789202190
722                4.9231140583         4.8631296160         3.9894417826
723                4.9231140583         4.8774496281         4.2667731497
724                4.9231140583         4.8297349604         3.9856226088
725                4.9231140583         4.8378293370         4.1261315469
726                4.9231140583         4.8877453687         4.7608749634
727                4.9231140583         4.8425983848         3.9363245476
728                4.9231140583         4.8251563295         3.9583631583
729                4.9231140583         4.8521062487         3.9722162080
730                4.9231140583         4.8912822961         4.8369927501
731                4.9231140583         4.8587923282         4.2214938895
732                4.9231140583         4.8532452929         4.3757046097
733                4.9231140583         4.8574217433         4.3937079904
734                4.9231140583         4.8224706182         4.0811778491
735                4.9231140583         4.8483626388         4.1457576236
736                4.9231140583         4.8466008019         3.9948367436
737                4.9231140583         4.8597295820         4.5201374822
738                4.9231140583         4.8670490045         4.1247888734
739                4.9231140583         4.8677599352         4.5770992459
740                4.9231140583         4.8844765379         4.7351111842
